tweet_id,retweet_count,favorite_count,retweeted,timestamp,source,text,rating_numerator,rating_denominator,name,jpg_url,dog_breed,confidence_level,rating
778039087836069888,2453,7958,False,2016-09-20 01:12:28+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",evolution pupper yawn featuring max groundbreaking stuff,12,10,None,https://pbs.twimg.com/media/CswmaHmWAAAbdY9.jpg,German_shepherd,0.717776,1.2
777641927919427584,3905,0,False,2016-09-18 22:54:18+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dog rates this arnie nova scotian fridge floof rare,12,10,Arnie,https://pbs.twimg.com/media/CmoPdmHW8AAi8BI.jpg,golden_retriever,0.964929,1.2
777621514455814149,2331,8191,False,2016-09-18 21:33:11+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this derek you can look him and not smile must just had blue pupsicle would snug intensely,12,10,Derek,https://pbs.twimg.com/media/Csqqoo5WEAAMTVW.jpg,chow,0.999823,1.2
777189768882946048,3971,13264,False,2016-09-17 16:57:35+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this jeffrey being held doesn fly away would set free,12,10,Jeffrey,https://pbs.twimg.com/media/Cskh9nRWYAAUxBP.jpg,Chihuahua,0.988412,1.2
776813020089548800,1111,4594,False,2016-09-16 16:00:31+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",meet solomon was arrested for possession adorable and attempted extra pats the head would post bail,12,10,Solomon,https://pbs.twimg.com/media/CsfLUDbXEAAu0VF.jpg,toy_poodle,0.51661,1.2
776477788987613185,2549,8211,False,2016-09-15 17:48:25+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this huck addicted caffeine hope not too latte seek help stay strong pupper,11,10,Huck,https://pbs.twimg.com/media/CsaaaaxWgAEfzM7.jpg,Labrador_retriever,0.8848389999999999,1.1
776218204058357768,14649,28004,False,2016-09-15 00:36:55+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",atlas rolled around some chalk and now magical rainbow floofer please never take bath,13,10,None,https://pbs.twimg.com/media/CsWuVEdWcAAqbe9.jpg,Samoyed,0.940326,1.3
776201521193218049,2330,8995,False,2016-09-14 23:30:38+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this malley that how sleeps doesn care what you think about comfy,10,10,O,https://pbs.twimg.com/media/CsWfKadWEAAtmlS.jpg,Rottweiler,0.502228,1.0
775898661951791106,15464,0,False,2016-09-14 03:27:11+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dog rates like father doggo like son pupper both,12,10,None,https://pbs.twimg.com/media/CiyHLocU4AI2pJu.jpg,golden_retriever,0.945523,1.2
775842724423557120,2454,10995,False,2016-09-13 23:44:54+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this blue was having average day until his owner told him about bront ckin hysterical,12,10,Blue,https://pbs.twimg.com/media/CsRY1jAWYAUOx55.jpg,chow,0.520022,1.2
775364825476165632,2708,6927,False,2016-09-12 16:05:54+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this finley independent doggo still adjusting life his own,11,10,Finley,https://pbs.twimg.com/media/CsKmMB2WAAAXcAy.jpg,beagle,0.571229,1.1
774757898236878852,1650,8111,False,2016-09-10 23:54:11+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this finley she beneboop cumbersplash unspeakable things for finley,12,10,Finley,https://pbs.twimg.com/media/CsB-MYiXgAEQU20.jpg,toy_poodle,0.7199409999999999,1.2
774639387460112384,1610,6346,False,2016-09-10 16:03:16+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this sprinkles trapped light jail would post bail for him,10,10,Sprinkles,https://pbs.twimg.com/media/CsASZqRW8AA3Szw.jpg,Walker_hound,0.6275930000000001,1.0
774314403806253056,5059,20473,False,2016-09-09 18:31:54+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",was sent the actual dog the profile pic his owner this wild ultimate legend status,14,10,None,https://pbs.twimg.com/media/Cr7q1VxWIAA5Nm7.jpg,Eskimo_dog,0.5960449999999999,1.4
773922284943896577,1619,6035,False,2016-09-08 16:33:46+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this heinrich pronounced pat botswanian vanderfloof snazzy bandana downright puptacular,12,10,Heinrich,https://pbs.twimg.com/media/Cr2GNdlW8AAbojw.jpg,Pomeranian,0.554331,1.2
773670353721753600,1220,5038,False,2016-09-07 23:52:41+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this shakespeare appears maximum level pettable born with eyes tho tragic probably wise,10,10,Shakespeare,https://pbs.twimg.com/media/CryhFC0XEAA9wp_.jpg,Old_English_sheepdog,0.969311,1.0
772826264096874500,2201,7553,False,2016-09-05 15:58:34+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",meet roosevelt preparing for takeoff make sure tray tables are their full pupright amp licked position,11,10,Roosevelt,https://pbs.twimg.com/media/CrmhYYIXEAEcyYY.jpg,basset,0.915351,1.1
772615324260794368,3106,0,False,2016-09-05 02:00:22+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dog rates this gromit pupset because there need beware him just wants pettin,10,10,Gromit,https://pbs.twimg.com/media/Cp6db4-XYAAMmqL.jpg,dalmatian,0.556595,1.0
